iter	Passed	Remaining
599	3098	2065
600	3103	2060
601	3108	2054
602	3113	2049
603	3118	2044
604	3123	2039
605	3128	2033
606	3132	2028
607	3137	2022
608	3142	2017
609	3147	2012
610	3151	2006
611	3156	2001
612	3161	1995
613	3166	1990
614	3171	1985
615	3175	1979
616	3180	1974
617	3185	1968
618	3190	1963
619	3195	1958
620	3199	1952
621	3204	1947
622	3209	1942
623	3214	1937
624	3218	1931
625	3223	1925
626	3227	1920
627	3232	1914
628	3237	1909
629	3242	1904
630	3247	1898
631	3252	1893
632	3256	1888
633	3261	1882
634	3266	1877
635	3270	1871
636	3274	1866
637	3279	1860
638	3283	1855
639	3288	1849
640	3294	1844
641	3298	1839
642	3303	1833
643	3307	1828
644	3311	1822
645	3316	1817
646	3321	1812
647	3325	1806
648	3330	1801
649	3334	1795
650	3339	1790
651	3344	1784
652	3349	1779
653	3354	1774
654	3358	1769
655	3362	1763
656	3367	1757
657	3371	1752
658	3376	1747
659	3381	1741
660	3385	1736
661	3390	1731
662	3395	1725
663	3399	1720
664	3404	1715
665	3409	1710
666	3414	1704
667	3419	1699
668	3424	1694
669	3428	1688
670	3434	1683
671	3439	1678
672	3443	1673
673	3448	1668
674	3453	1662
675	3458	1657
676	3462	1652
677	3466	1646
678	3471	1641
679	3476	1635
680	3481	1630
681	3498	1631
682	3518	1633
683	3581	1654
684	3587	1649
685	3598	1647
686	3611	1645
687	3618	1640
688	3624	1636
689	3631	1631
690	3637	1626
691	3644	1622
692	3650	1617
693	3656	1612
694	3662	1607
695	3668	1602
696	3674	1597
697	3680	1592
698	3686	1587
699	3692	1582
700	3698	1577
701	3703	1572
702	3710	1567
703	3716	1562
704	3722	1557
705	3728	1552
706	3741	1550
707	3747	1545
708	3753	1540
709	3759	1535
710	3764	1530
711	3771	1525
712	3777	1520
713	3782	1515
714	3788	1510
715	3793	1504
716	3799	1499
717	3804	1494
718	3810	1489
719	3816	1484
720	3822	1479
721	3828	1473
722	3833	1468
723	3837	1463
724	3842	1457
725	3847	1452
726	3852	1446
727	3858	1441
728	3863	1436
729	3868	1430
730	3873	1425
731	3878	1419
732	3883	1414
733	3888	1409
734	3893	1403
735	3899	1398
736	3904	1393
737	3909	1387
738	3914	1382
739	3919	1377
740	3924	1371
741	3929	1366
742	3934	1360
743	3939	1355
744	3944	1350
745	3949	1344
746	3954	1339
747	3959	1333
748	3963	1328
749	3968	1322
750	3972	1317
751	3977	1311
752	3981	1305
753	3985	1300
754	3989	1294
755	3994	1289
756	3998	1283
757	4003	1278
758	4007	1272
759	4011	1266
760	4016	1261
761	4021	1255
762	4026	1250
763	4031	1245
764	4036	1239
765	4041	1234
766	4046	1229
767	4051	1223
768	4056	1218
769	4061	1213
770	4066	1207
771	4070	1202
772	4074	1196
773	4079	1191
774	4084	1185
775	4088	1180
776	4093	1174
777	4097	1169
778	4101	1163
779	4106	1158
780	4111	1152
781	4116	1147
782	4120	1142
783	4124	1136
784	4129	1131
785	4134	1125
786	4138	1120
787	4143	1114
788	4148	1109
789	4152	1103
790	4157	1098
791	4162	1093
792	4167	1087
793	4171	1082
794	4176	1076
795	4181	1071
796	4185	1066
797	4190	1060
798	4194	1055
799	4199	1049
800	4204	1044
801	4208	1039
802	4213	1033
803	4218	1028
804	4223	1023
805	4228	1017
806	4232	1012
807	4237	1006
808	4241	1001
809	4246	996
810	4251	990
811	4256	985
812	4261	980
813	4265	974
814	4269	969
815	4274	963
816	4279	958
817	4284	953
818	4288	947
819	4293	942
820	4298	937
821	4303	931
822	4308	926
823	4312	921
824	4317	915
825	4321	910
826	4326	905
827	4331	899
828	4335	894
829	4339	888
830	4344	883
831	4349	878
832	4354	872
833	4358	867
834	4363	862
835	4368	856
836	4372	851
837	4377	846
838	4381	840
839	4386	835
840	4391	830
841	4397	825
842	4402	819
843	4406	814
844	4411	809
845	4416	803
846	4420	798
847	4425	793
848	4430	787
849	4434	782
850	4439	777
851	4444	771
852	4448	766
853	4453	761
854	4458	756
855	4464	750
856	4468	745
857	4472	740
858	4477	734
859	4482	729
860	4487	724
861	4491	719
862	4496	713
863	4500	708
864	4505	703
865	4510	697
866	4515	692
867	4520	687
868	4524	682
869	4530	676
870	4534	671
871	4539	666
872	4543	660
873	4547	655
874	4552	650
875	4557	645
876	4562	639
877	4567	634
878	4572	629
879	4576	624
880	4581	618
881	4586	613
882	4591	608
883	4596	603
884	4600	597
885	4605	592
886	4609	587
887	4614	582
888	4619	576
889	4623	571
890	4628	566
891	4632	560
892	4637	555
893	4642	550
894	4647	545
895	4651	539
896	4656	534
897	4661	529
898	4666	524
899	4670	518
900	4675	513
901	4679	508
902	4684	503
903	4689	497
904	4694	492
905	4698	487
906	4704	482
907	4708	477
908	4712	471
909	4717	466
910	4722	461
911	4727	456
912	4732	450
913	4737	445
914	4741	440
915	4746	435
916	4750	429
917	4755	424
918	4760	419
919	4765	414
920	4769	409
921	4774	403
922	4779	398
923	4783	393
924	4787	388
925	4792	383
926	4797	377
927	4802	372
928	4807	367
929	4811	362
930	4816	356
931	4821	351
932	4826	346
933	4831	341
934	4836	336
935	4841	331
936	4846	325
937	4850	320
938	4854	315
939	4859	310
940	4864	304
941	4869	299
942	4873	294
943	4879	289
944	4883	284
945	4887	279
946	4892	273
947	4897	268
948	4901	263
949	4906	258
950	4911	253
951	4915	247
952	4920	242
953	4925	237
954	4929	232
955	4934	227
956	4939	221
957	4944	216
958	4949	211
959	4953	206
960	4958	201
961	4963	196
962	4967	190
963	4972	185
964	4977	180
965	4981	175
966	4986	170
967	4991	164
968	4995	159
969	4999	154
970	5004	149
971	5013	144
972	5018	139
973	5023	134
974	5027	128
975	5032	123
976	5036	118
977	5041	113
978	5046	108
979	5051	103
980	5056	97
981	5060	92
982	5065	87
983	5069	82
984	5074	77
985	5079	72
986	5083	66
987	5088	61
988	5093	56
989	5097	51
990	5102	46
991	5107	41
992	5112	36
993	5116	30
994	5121	25
995	5126	20
996	5131	15
997	5136	10
998	5141	5
999	5146	0
